"Date of visit*","Total
30-May-20,"41,956",49,770,"10,355","17,816",948,894,"6,386","4,616",122,"30,044",56,667,"6,754","12,601",694,701,"4,905","3,582",84,-26%,14%,-13%,-35%,-29%,-27%,-22%,-23%,-22%,-31%
31-May-20,"41,885",71,772,"9,971","17,971",832,925,"6,538","4,684",121,"29,462",41,687,"6,670","12,254",702,702,"4,747","3,581",78,-29%,-42%,-11%,-33%,-32%,-16%,-24%,-27%,-24%,-36%
01-Jun-20,"39,617",67,786,"8,857","16,874",931,942,"6,386","4,664",110,"33,426",38,736,"7,772","14,383",818,768,"4,949","3,879",83,-17%,-43%,-6%,-12%,-15%,-12%,-18%,-23%,-17%,-25%
02-Jun-20,"41,452",71,784,"9,405","17,830",874,910,"6,663","4,822",93,"32,343",47,703,"7,549","13,670",814,776,"4,963","3,733",88,-23%,-34%,-10%,-20%,-23%,-7%,-15%,-26%,-23%,-5%
03-Jun-20,"45,948",67,891,"10,944","19,868",956,930,"7,229","4,965",98,"31,971",61,643,"7,504","13,548",754,807,"4,863","3,687",104,-30%,-9%,-28%,-31%,-32%,-21%,-13%,-33%,-26%,6%
04-Jun-20,"42,742",69,837,"10,387","18,234",929,888,"6,638","4,649",111,"32,324",64,702,"7,498","13,930",760,732,"4,779","3,782",77,-23%,-7%,-16%,-28%,-24%,-18%,-18%,-28%,-19%,-31%
05-Jun-20,"41,949",75,826,"10,213","17,791",829,926,"6,548","4,630",111,"32,646",54,716,"7,687","13,873",796,735,"4,943","3,729",113,-21%,-28%,-13%,-25%,-22%,-4%,-21%,-25%,-19%,2%
06-Jun-20,"41,845",66,755,"10,064","18,079",921,890,"6,381","4,579",110,"30,646",51,695,"7,001","12,862",725,686,"4,818","3,721",87,-26%,-23%,-8%,-30%,-29%,-21%,-23%,-24%,-19%,-21%
07-Jun-20,"41,014",60,740,"10,167","17,613",910,894,"6,089","4,433",108,"30,445",55,710,"7,075","12,890",735,742,"4,434","3,725",79,-24%,-8%,-4%,-30%,-27%,-19%,-17%,-27%,-16%,-27%
08-Jun-20,"39,632",75,780,"9,113","17,275",849,917,"6,144","4,382",97,"34,872",49,771,"8,384","15,095",828,752,"4,996","3,899",98,-13%,-35%,-1%,-8%,-13%,-2%,-18%,-19%,-11%,1%
09-Jun-20,"42,242",68,868,"9,845","18,557",963,842,"6,359","4,636",104,"32,820",47,732,"7,705","14,153",795,730,"4,971","3,578",109,-22%,-31%,-16%,-22%,-24%,-17%,-13%,-22%,-23%,5%
10-Jun-20,"46,182",79,884,"11,705","19,759",965,907,"6,909","4,836",138,"32,425",54,732,"7,463","13,797",761,740,"4,933","3,843",102,-28%,-32%,-17%,-36%,-30%,-21%,-18%,-29%,-21%,-26%
11-Jun-20,"43,278",65,868,"10,586","18,666",924,835,"6,563","4,649",122,"32,639",52,701,"7,743","13,672",824,740,"4,965","3,843",99,-24%,-20%,-19%,-27%,-27%,-11%,-11%,-24%,-17%,-19%
12-Jun-20,"42,664",65,840,"10,236","18,717",854,902,"6,304","4,604",142,"32,763",64,678,"7,493","13,968",822,741,"5,128","3,784",85,-22%,-2%,-19%,-27%,-25%,-4%,-18%,-19%,-18%,-40%
13-Jun-20,"41,810",49,822,"10,261","17,856",869,839,"6,441","4,566",107,"30,904",67,676,"6,798","13,011",765,823,"4,983","3,699",82,-24%,37%,-18%,-34%,-27%,-12%,-2%,-23%,-19%,-23%
14-Jun-20,"42,309",67,813,"10,254","18,200",844,901,"6,480","4,614",136,"31,134",44,692,"7,017","13,003",812,788,"5,020","3,678",80,-25%,-34%,-15%,-32%,-29%,-4%,-13%,-23%,-20%,-41%
15-Jun-20,"39,567",54,761,"8,841","17,166",870,855,"6,409","4,490",121,"35,539",51,798,"8,424","15,236",877,833,"5,317","3,909",94,-12%,-6%,5%,-5%,-11%,1%,-3%,-17%,-13%,-22%
16-Jun-20,"40,716",56,820,"9,149","17,522",896,910,"6,461","4,791",111,"33,553",59,714,"7,788","14,265",852,782,"4,983","4,011",99,-18%,5%,-13%,-15%,-19%,-5%,-14%,-23%,-16%,-11%
17-Jun-20,"46,519",61,885,"11,218","20,247",916,899,"7,064","5,081",148,"33,310",56,670,"7,858","14,289",799,732,"4,831","3,987",88,-28%,-8%,-24%,-30%,-29%,-13%,-19%,-32%,-22%,-41%
18-Jun-20,"42,998",71,817,"10,200","18,821",852,829,"6,610","4,673",125,"33,729",51,703,"7,950","14,367",809,781,"5,054","3,917",97,-21%,-28%,-14%,-22%,-24%,-5%,-6%,-24%,-16%,-22%
19-Jun-20,"42,410",56,828,"10,292","18,704",845,839,"6,165","4,558",123,"33,956",46,752,"8,066","14,371",798,756,"5,015","4,045",107,-19%,-18%,-9%,-22%,-23%,-6%,-10%,-19%,-11%,-13%
20-Jun-20,"40,927",59,827,"9,928","17,834",842,841,"5,991","4,479",126,"31,864",42,729,"7,229","13,410",745,751,"5,043","3,821",94,-21%,-29%,-12%,-27%,-25%,-12%,-11%,-16%,-15%,-25%
21-Jun-20,"41,366",63,741,"10,110","18,068",831,820,"6,195","4,415",123,"31,852",56,720,"7,304","13,334",761,743,"4,989","3,855",90,-21%,-11%,-3%,-28%,-26%,-8%,-9%,-19%,-13%,-27%
22-Jun-20,"39,462",68,719,"9,458","16,964",813,877,"6,062","4,366",135,"38,519",68,829,"9,071","16,861",849,876,"5,678","4,200",87,-2%,0%,15%,-4%,-1%,4%,0%,-6%,-4%,-36%
23-Jun-20,"41,718",63,849,"9,926","17,869",874,905,"6,451","4,652",129,"35,556",53,807,"8,495","15,222",823,812,"5,281","3,962",101,-15%,-16%,-5%,-14%,-15%,-6%,-10%,-18%,-15%,-22%
24-Jun-20,"45,128",69,896,"10,362","20,201",953,937,"6,837","4,734",139,"34,814",60,811,"7,987","15,100",833,812,"5,110","3,990",111,-23%,-13%,-9%,-23%,-25%,-13%,-13%,-25%,-16%,-20%
25-Jun-20,"43,494",84,791,"11,185","18,556",873,829,"6,545","4,510",121,"35,749",54,734,"8,787","15,185",818,815,"5,198","4,056",102,-17%,-36%,-7%,-21%,-18%,-6%,-2%,-21%,-10%,-16%
26-Jun-20,"42,150",76,823,"10,572","18,019",862,852,"6,319","4,498",129,"35,792",66,784,"8,459","15,380",813,772,"5,290","4,124",104,-13%,-13%,-5%,-20%,-15%,-6%,-9%,-16%,-8%,-19%
27-Jun-20,"41,382",61,796,"10,334","17,831",843,888,"6,145","4,372",112,"33,476",52,741,"7,928","14,272",802,779,"4,960","3,853",89,-18%,-15%,-7%,-23%,-20%,-5%,-12%,-19%,-12%,-21%
28-Jun-20,"41,774",70,753,"10,087","18,181",858,916,"6,440","4,349",120,"33,426",60,760,"7,663","14,227",825,803,"5,032","3,986",70,-19%,-14%,1%,-24%,-22%,-4%,-12%,-22%,-8%,-42%
29-Jun-20,"41,037",71,754,"9,370","18,069",851,877,"6,406","4,521",118,"38,004",68,866,"8,865","16,560",979,854,"5,349","4,352",111,-8%,-4%,15%,-5%,-8%,15%,-3%,-17%,-4%,-6%
30-Jun-20,"43,135",76,840,"9,881","18,886",911,925,"6,701","4,784",131,"35,913",51,811,"8,624","15,410",930,812,"5,090","4,058",127,-18%,-33%,-3%,-13%,-18%,2%,-12%,-24%,-15%,-3%
01-Jul-20,"43,034",61,822,"10,262","18,735",896,924,"6,477","4,729",128,"33,272",51,759,"8,160","13,902",909,774,"4,939","3,676",102,-23%,-16%,-8%,-20%,-26%,1%,-16%,-24%,-22%,-20%
02-Jul-20,"47,520",82,910,"11,468","21,006","1,006",916,"6,953","5,011",168,"36,749",63,832,"8,621","16,031",939,852,"5,340","3,971",100,-22%,-23%,-9%,-25%,-24%,-7%,-7%,-23%,-21%,-40%
03-Jul-20,"43,472",74,852,"10,535","18,978",915,865,"6,439","4,680",134,"35,908",59,797,"8,551","15,501",901,814,"5,319","3,859",107,-17%,-20%,-6%,-19%,-18%,-2%,-6%,-17%,-18%,-20%
04-Jul-20,"42,298",75,841,"10,258","18,533",859,883,"6,155","4,540",154,"33,756",46,711,"7,578","14,631",881,825,"5,158","3,831",95,-18%,-39%,-15%,-26%,-21%,3%,-7%,-16%,-16%,-38%
05-Jul-20,"42,455",61,796,"10,265","18,458",854,882,"6,357","4,634",148,"34,675",61,769,"7,892","14,933",893,836,"5,266","3,930",95,-17%,0%,-3%,-23%,-19%,5%,-5%,-17%,-15%,-36%
06-Jul-20,"40,524",74,745,"9,408","17,694",896,904,"6,191","4,488",124,"39,205",59,776,"9,434","17,020",919,863,"5,716","4,309",109,-4%,-20%,4%,0%,-4%,3%,-5%,-8%,-4%,-12%
07-Jul-20,"42,035",67,883,"9,732","18,508",881,931,"6,273","4,636",124,"36,307",64,793,"8,702","15,550",929,813,"5,264","4,085",107,-15%,-4%,-10%,-11%,-16%,5%,-13%,-16%,-12%,-14%
08-Jul-20,"46,682",78,962,"11,577","20,454",922,940,"6,777","4,835",137,"35,639",56,758,"8,678","15,337",901,752,"5,010","4,055",92,-23%,-28%,-21%,-25%,-25%,-2%,-20%,-26%,-16%,-33%
09-Jul-20,"43,420",74,906,"10,857","18,658",870,853,"6,437","4,644",121,"35,698",50,785,"8,558","15,346",858,841,"5,112","4,046",102,-17%,-32%,-13%,-21%,-18%,-1%,-1%,-21%,-13%,-16%
10-Jul-20,"42,036",68,838,"10,353","18,214",854,882,"6,230","4,467",130,"36,010",69,724,"8,529","15,484",867,835,"5,261","4,135",106,-13%,1%,-14%,-18%,-15%,2%,-5%,-16%,-7%,-18%
11-Jul-20,"41,661",66,828,"10,133","17,967",840,878,"6,287","4,530",132,"33,940",69,683,"7,749","14,610",852,866,"5,172","3,825",114,-17%,5%,-18%,-24%,-19%,1%,-1%,-18%,-16%,-14%
12-Jul-20,"42,262",69,805,"10,528","18,138",882,846,"6,267","4,608",119,"34,596",72,764,"8,073","14,653",898,884,"5,185","3,977",90,-16%,4%,-5%,-23%,-19%,2%,4%,-17%,-14%,-24%
13-Jul-20,"40,196",64,780,"9,280","17,258",857,864,"6,449","4,531",113,"39,164",70,862,"9,762","16,863",910,837,"5,425","4,326",109,-5%,9%,11%,5%,-2%,6%,-3%,-16%,-5%,-4%
14-Jul-20,"41,269",69,837,"9,498","17,828",866,938,"6,369","4,745",119,"36,937",65,760,"9,001","15,856",866,780,"5,359","4,138",112,-12%,-6%,-9%,-5%,-11%,0%,-17%,-16%,-13%,-6%
15-Jul-20,"46,057",75,906,"11,489","19,809",900,954,"6,801","4,970",153,"36,377",52,731,"8,960","15,524",842,805,"5,254","4,094",115,-21%,-31%,-19%,-22%,-22%,-6%,-16%,-23%,-18%,-25%
16-Jul-20,"43,040",66,827,"10,660","18,482",829,889,"6,473","4,688",126,"36,175",64,727,"8,641","15,540",900,851,"5,201","4,146",105,-15%,-3%,-12%,-19%,-16%,9%,-4%,-20%,-12%,-17%
17-Jul-20,"42,009",75,803,"10,531","17,873",824,855,"6,364","4,569",115,"36,146",56,787,"8,372","15,752",842,840,"5,194","4,199",104,-12%,-25%,-2%,-21%,-12%,2%,-2%,-18%,-8%,-10%
18-Jul-20,"41,190",66,831,"10,154","17,775",821,876,"6,033","4,536",98,"33,809",65,669,"7,755","14,432",838,847,"5,136","3,962",105,-16%,-2%,-19%,-24%,-19%,2%,-3%,-15%,-13%,7%
19-Jul-20,"41,260",64,794,"10,340","17,771",906,815,"6,065","4,381",124,"34,412",55,760,"8,016","14,544",845,831,"5,069","4,203",89,-15%,-14%,-4%,-22%,-18%,-7%,2%,-16%,-4%,-28%
20-Jul-20,"39,160",70,803,"9,158","16,949",842,872,"5,913","4,428",125,"39,314",61,852,"9,409","17,168",900,792,"5,541","4,472",119,0%,-13%,6%,3%,1%,7%,-9%,-6%,1%,-5%
21-Jul-20,"41,278",80,883,"9,764","18,034",872,852,"6,111","4,545",137,"37,085",73,753,"8,977","16,024",895,775,"5,333","4,149",106,-11%,-9%,-15%,-8%,-11%,3%,-9%,-13%,-9%,-23%
22-Jul-20,"46,268",78,965,"11,474","20,218",933,907,"6,680","4,886",127,"36,753",73,755,"8,848","15,736",880,858,"5,369","4,128",106,-20%,-6%,-22%,-23%,-22%,-6%,-5%,-20%,-16%,-17%
23-Jul-20,"42,794",79,837,"10,490","18,319",927,883,"6,501","4,620",138,"36,297",67,754,"8,818","15,534",881,830,"5,243","4,068",102,-15%,-15%,-10%,-16%,-15%,-5%,-6%,-19%,-12%,-26%
24-Jul-20,"42,113",74,892,"10,330","18,255",883,821,"6,186","4,536",136,"36,396",61,734,"8,781","15,735",859,825,"5,288","3,988",125,-13%,-18%,-18%,-15%,-14%,-3%,0%,-15%,-12%,-8%
25-Jul-20,"41,658",80,863,"10,410","17,928",848,815,"5,984","4,624",106,"34,323",68,723,"8,017","14,829",818,801,"5,118","3,853",96,-16%,-15%,-16%,-23%,-17%,-4%,-2%,-14%,-17%,-9%
26-Jul-20,"41,580",59,846,"10,354","17,790",857,821,"6,151","4,582",120,"34,677",55,747,"8,195","14,750",874,846,"5,088","4,022",100,-15%,-7%,-12%,-21%,-17%,2%,3%,-17%,-12%,-17%
27-Jul-20,"39,473",79,720,"9,189","17,010",834,897,"6,123","4,496",125,"40,003",71,913,"9,914","17,388",879,857,"5,551","4,337",93,-1%,-10%,27%,8%,2%,5%,-4%,-9%,-4%,-26%
28-Jul-20,"41,229",65,821,"9,573","17,842",927,824,"6,365","4,708",104,"37,718",77,844,"9,220","16,401",845,803,"5,277","4,151",100,-10%,18%,3%,-4%,-8%,-9%,-3%,-17%,-12%,-4%
29-Jul-20,"45,760",83,907,"11,104","20,027",957,900,"6,665","4,990",127,"36,869",79,792,"9,027","16,041",841,769,"5,217","4,003",100,-20%,-5%,-13%,-19%,-20%,-12%,-15%,-22%,-20%,-21%
30-Jul-20,"42,829",75,818,"10,662","18,551",906,818,"6,312","4,559",128,"36,705",66,834,"8,863","15,892",823,788,"5,224","4,103",112,-13%,-12%,2%,-17%,-14%,-9%,-4%,-17%,-10%,-13%
31-Jul-20,"42,019",63,808,"10,708","18,099",830,798,"6,081","4,513",119,"37,327",68,788,"9,051","15,909",829,828,"5,454","4,276",124,-10%,8%,-2%,-15%,-12%,0%,4%,-10%,-5%,4%
01-Aug-20,"41,994",66,841,"10,545","17,902",951,912,"6,169","4,489",119,"35,003",55,741,"7,970","15,188",791,845,"5,293","4,008",112,-14%,-17%,-12%,-24%,-15%,-17%,-7%,-14%,-11%,-6%
02-Aug-20,"42,026",63,829,"10,490","18,009",833,893,"6,229","4,531",149,"35,935",57,773,"8,125","15,124",834,911,"5,768","4,242",101,-12%,-10%,-7%,-23%,-16%,0%,2%,-7%,-6%,-32%
03-Aug-20,"40,483",69,733,"9,577","17,421",888,876,"6,270","4,535",114,"37,937",79,838,"9,635","15,484",881,913,"5,702","4,286",119,-8%,14%,14%,1%,-11%,-1%,4%,-9%,-5%,4%
04-Aug-20,"42,095",77,842,"9,752","18,327",869,903,"6,521","4,689",115,"39,426",68,870,"9,008","17,384",911,859,"5,774","4,423",129,-6%,-12%,3%,-8%,-5%,5%,-5%,-11%,-6%,12%
05-Aug-20,"46,008",76,906,"11,866","19,408",957,979,"6,858","4,818",140,"37,662",76,789,"9,235","16,037",837,828,"5,380","4,366",114,-17%,0%,-13%,-22%,-17%,-13%,-15%,-22%,-9%,-19%
06-Aug-20,"45,703",82,889,"10,903","20,035",960,955,"6,828","4,922",129,"36,857",65,837,"8,907","15,820",851,788,"5,303","4,170",116,-20%,-21%,-6%,-18%,-21%,-11%,-17%,-22%,-15%,-10%
07-Aug-20,"43,474",81,908,"10,762","18,804",893,855,"6,403","4,634",134,"36,764",69,792,"9,061","15,858",827,782,"5,254","4,013",108,-15%,-15%,-13%,-16%,-16%,-7%,-9%,-18%,-13%,-19%
08-Aug-20,"42,962",77,803,"10,833","18,548",854,821,"6,355","4,553",118,"34,372",56,716,"8,136","14,637",857,800,"5,097","3,963",110,-18%,-27%,-11%,-25%,-21%,0%,-3%,-20%,-13%,-7%
09-Aug-20,"41,581",77,807,"10,314","17,995",901,834,"6,145","4,393",115,"34,813",51,724,"8,301","14,803",822,803,"5,162","4,040",107,-15%,-34%,-10%,-20%,-18%,-9%,-4%,-16%,-8%,-7%
10-Aug-20,"38,664",62,773,"9,182","16,820",868,801,"5,952","4,099",107,"40,162",71,859,"10,043","17,350",902,840,"5,501","4,477",119,2%,15%,11%,9%,3%,4%,5%,-8%,9%,11%
11-Aug-20,"40,138",73,785,"9,450","17,529",858,864,"6,244","4,221",114,"37,635",76,847,"9,332","16,260",900,792,"5,152","4,167",109,-8%,4%,8%,-1%,-7%,5%,-8%,-17%,-1%,-4%
12-Aug-20,"45,387",70,907,"11,458","19,831",906,861,"6,687","4,547",120,"37,039",61,831,"9,254","16,063",851,776,"5,093","4,010",100,-18%,-13%,-8%,-19%,-19%,-6%,-10%,-24%,-12%,-17%
13-Aug-20,"42,137",62,850,"10,746","18,161",851,844,"6,142","4,356",125,"36,882",73,779,"9,265","15,996",809,811,"4,989","4,054",106,-12%,18%,-8%,-14%,-12%,-5%,-4%,-19%,-7%,-15%
14-Aug-20,"41,193",68,822,"10,335","17,808",835,886,"6,091","4,235",113,"36,897",64,767,"9,120","15,997",781,813,"5,155","4,070",130,-10%,-6%,-7%,-12%,-10%,-6%,-8%,-15%,-4%,15%
15-Aug-20,"40,712",71,810,"10,219","17,558",841,836,"6,174","4,088",115,"34,594",72,717,"8,205","14,939",778,818,"4,997","3,984",84,-13%,1%,-11%,-20%,-15%,-7%,-2%,-19%,-3%,-27%
16-Aug-20,"41,091",73,758,"10,306","17,794",893,889,"6,062","4,200",116,"35,335",60,729,"8,586","15,093",785,785,"5,139","4,064",94,-13%,-18%,-4%,-17%,-15%,-12%,-12%,-15%,-3%,-19%
17-Aug-20,"38,810",81,700,"9,451","16,809",865,793,"5,861","4,123",127,"40,051",77,796,"10,248","17,153",847,867,"5,581","4,372",110,2%,-5%,14%,8%,2%,-2%,9%,-5%,6%,-13%
18-Aug-20,"40,408",60,798,"9,521","17,770",881,856,"6,115","4,277",130,"37,363",61,771,"9,311","16,018",836,795,"5,329","4,122",120,-9%,2%,-3%,-2%,-10%,-5%,-7%,-13%,-4%,-8%
19-Aug-20,"44,999",88,889,"11,380","19,780",918,894,"6,485","4,438",127,"36,553",55,830,"8,995","15,487",813,832,"5,231","4,198",112,-18%,-38%,-7%,-21%,-22%,-11%,-7%,-19%,-5%,-12%
20-Aug-20,"41,729",68,832,"10,470","17,943",898,798,"6,206","4,390",124,"36,729",57,783,"8,959","15,756",842,755,"5,316","4,153",108,-11%,-16%,-6%,-14%,-12%,-6%,-5%,-14%,-5%,-13%
21-Aug-20,"41,428",67,834,"10,458","17,938",862,872,"6,145","4,138",114,"36,838",59,741,"8,944","15,882",827,796,"5,379","4,106",104,-10%,-12%,-11%,-14%,-11%,-4%,-9%,-12%,-1%,-9%
22-Aug-20,"41,095",66,829,"10,370","17,707",835,839,"6,134","4,188",127,"33,949",51,689,"7,889","14,793",755,809,"5,006","3,850",107,-15%,-23%,-17%,-24%,-16%,-10%,-4%,-18%,-8%,-16%
23-Aug-20,"40,561",62,790,"10,134","17,463",822,826,"6,110","4,224",130,"35,095",52,680,"8,327","15,169",834,798,"5,202","3,928",105,-12%,-16%,-14%,-18%,-13%,1%,-3%,-15%,-7%,-19%
24-Aug-20,"38,380",51,762,"9,064","16,451",855,893,"5,980","4,244",80,"40,064",57,854,"9,805","17,642",902,875,"5,450","4,369",110,3%,12%,12%,8%,7%,5%,-2%,-9%,3%,38%
25-Aug-20,"39,944",60,759,"9,451","17,193",886,895,"6,135","4,461",104,"37,436",51,807,"8,994","16,425",846,820,"5,333","4,065",95,-7%,-15%,6%,-5%,-4%,-5%,-8%,-13%,-9%,-9%
26-Aug-20,"44,281",64,813,"11,108","19,136",871,862,"6,466","4,808",153,"36,053",70,810,"8,598","15,633",837,754,"5,237","4,013",101,-17%,9%,0%,-23%,-18%,-4%,-13%,-19%,-17%,-34%
27-Aug-20,"41,300",64,797,"10,320","17,618",829,868,"6,032","4,638",134,"35,451",51,744,"8,380","15,655",814,670,"4,983","4,048",106,-13%,-20%,-7%,-19%,-11%,-2%,-23%,-17%,-13%,-21%
28-Aug-20,"40,651",61,756,"10,151","17,440",887,868,"5,838","4,529",121,"36,026",60,743,"8,676","15,603",800,766,"5,219","4,057",102,-10%,-2%,-2%,-15%,-11%,-10%,-12%,-11%,-10%,-16%
29-Aug-20,"40,274",58,729,"9,994","17,196",868,801,"5,959","4,531",138,"33,303",45,717,"7,681","14,241",761,795,"5,007","3,959",97,-15%,-22%,-2%,-23%,-17%,-12%,-1%,-16%,-13%,-30%
30-Aug-20,"40,812",75,804,"10,135","17,286",834,848,"6,177","4,534",119,"33,342",51,700,"7,669","14,498",755,796,"4,936","3,852",85,-16%,-32%,-13%,-24%,-16%,-9%,-6%,-20%,-15%,-29%
31-Aug-20,"39,128",63,727,"9,244","16,713",814,875,"5,976","4,608",108,"38,276",66,826,"9,145","16,975",816,782,"5,279","4,272",115,-3%,5%,14%,-1%,2%,0%,-11%,-12%,-7%,6%
01-Sep-20,"40,814",58,745,"9,473","17,617",906,914,"6,197","4,798",106,"36,670",61,718,"8,924","16,160",823,749,"5,033","4,087",115,-11%,5%,-4%,-6%,-8%,-9%,-18%,-19%,-15%,8%
02-Sep-20,"42,759",63,839,"10,167","18,272",951,937,"6,565","4,864",101,"35,984",69,738,"8,649","16,044",751,742,"4,899","3,967",125,-16%,10%,-12%,-15%,-12%,-21%,-21%,-25%,-18%,24%
03-Sep-20,"43,757",66,840,"10,755","18,538",915,870,"6,717","4,891",165,"36,539",57,731,"8,927","15,953",768,773,"4,959","4,265",106,-16%,-14%,-13%,-17%,-14%,-16%,-11%,-26%,-13%,-36%
04-Sep-20,"41,399",64,797,"10,163","17,623",926,837,"6,292","4,588",109,"35,961",53,711,"8,797","15,646",745,826,"4,977","4,106",100,-13%,-17%,-11%,-13%,-11%,-20%,-1%,-21%,-11%,-8%
05-Sep-20,"40,822",61,768,"10,053","17,366",862,785,"6,203","4,610",114,"33,681",47,696,"7,758","14,362",741,788,"5,129","4,060",100,-16%,-23%,-9%,-23%,-17%,-14%,0%,-17%,-12%,-12%
